delta,probe_edge,canonical,rel_gap,norm_delta,G_r,g_pair,mac_r,mac_r1,eps_sub,sin_individual,sin_subspace,dk_individual,dk_subspace,weyl_ok_individual,weyl_ok_subspace
0.005,9,False,0.004064020636716668,0.0020957663652336894,0.0011220209407245552,0.12458229607104501,0.9988113093378275,0.9988216327545215,0.003236872323688869,0.034477393494470134,0.0032368720075183406,3.73569919983905,0.03364468999734193,False,True
0.005,10,False,0.004064020636716668,0.0030951784440653987,0.0011220209407245552,0.12458229607104501,0.9988512395985323,0.9988662039284304,0.003895911995022945,0.03389336810450857,0.0038959113343169783,5.517149157780708,0.049688897085350306,False,True
0.005,11,False,0.004064020636716668,0.0031011955466041918,0.0011220209407245552,0.12458229607104501,0.9896935380055675,0.9896947417110624,0.0034900202201141317,0.10152074662074016,0.0034900023488578093,5.527874630577869,0.04978549351563863,False,True
0.01,0,False,0.008091423406390474,0.0009905360773884385,0.0022384467552981624,0.12402376369664792,0.9973273012133281,0.9973275672283498,0.0021602226270520395,0.05169815070843316,0.002160172583290279,0.8850208967838492,0.01597332717318932,True,True
0.01,1,False,0.008091423406390474,0.0020352466070375215,0.0022384467552981624,0.12402376369664792,0.9987901853145223,0.9987774930172646,0.003614408351973376,0.03478239045088262,0.003614406177053791,1.8184454039126121,0.0328202684126821,False,True
0.01,2,False,0.008091423406390474,0.0031183507538302836,0.0022384467552981624,0.12402376369664792,0.9987611169915347,0.9987463498975351,0.0039015640757034615,0.03519776993596765,0.003901561196540005,2.786173713044086,0.05028634288921464,False,True
0.01,3,False,0.008091423406390474,0.0030421408671688923,0.0022384467552981624,0.12402376369664792,0.9988083311350232,0.9987911388078874,0.004204764871155613,0.03452055713595584,0.0042047633803368525,2.718081955685095,0.04905738668937225,False,True
0.01,4,True,0.008091423406390474,0.00211145649369883,0.0022384467552981624,0.12402376369664792,0.9988585775355163,0.9988483669731372,0.0032402912702876345,0.03378494434631611,0.003240290048123963,1.886537161271529,0.03404922461252315,False,True
0.01,5,False,0.008091423406390474,0.003124412903905609,0.0022384467552981624,0.12402376369664792,0.9973577057117314,0.9973582811960897,0.003493834776731233,0.0514032517285489,0.003493763492438447,2.791590102833994,0.050384100768747345,False,True
0.01,6,False,0.008091423406390474,0.0009807287894935985,0.0022384467552981624,0.12402376369664792,0.9974476030093187,0.9974478599596572,0.0021456591741716535,0.05052125286135853,0.0021456090853131425,0.8762583136474603,0.015815175419000856,True,True
0.01,7,False,0.008091423406390474,0.003012020660563324,0.0022384467552981624,0.12402376369664792,0.9995561769926471,0.9995732662306291,0.004169604243064847,0.021067107237418857,0.004169602659342173,2.691170253153617,0.04857166998947851,False,True
0.01,8,False,0.008091423406390474,0.0020150956505321617,0.0022384467552981624,0.12402376369664792,0.9995750022552069,0.9995872954698203,0.003535402292975019,0.020615473431214202,0.0035354002242063824,1.8004409939728496,0.03249531526008068,False,True
0.01,9,False,0.008091423406390474,0.0020905509838602373,0.0022384467552981624,0.12402376369664792,0.9995560457294977,0.9995663397582013,0.00323585713260167,0.02107022236480327,0.0032358558635769454,1.8678585755163737,0.033712103576755754,False,True
0.01,10,False,0.008091423406390474,0.003087475993891347,0.0022384467552981624,0.12402376369664792,0.9995838733251392,0.9995988021726805,0.003894142969785811,0.020399183191020052,0.003894140416736398,2.758587834697094,0.049788458306152736,False,True
0.01,11,False,0.008091423406390474,0.003093478122678893,0.0022384467552981624,0.12402376369664792,0.9973405427901395,0.9973411159128589,0.003488997149359269,0.05156992543974147,0.0034889261248844117,2.7639505968654055,0.04988524828588963,False,True
0.02,0,False,0.016038186673321138,0.0009953873445430058,0.0044546288884956264,0.12291441076449475,0.9993037519212422,0.9993039263245367,0.0021677179369451326,0.02638651319818116,0.002167519827987197,0.44690023319951944,0.016196430318495006,True,True
0.02,1,False,0.016038186673321138,0.0020452144671098777,0.0044546288884956264,0.12291441076449475,0.9997699868579354,0.9997569477838923,0.003654465802683406,0.015166184162953159,0.0036544569745170946,0.9182423579175267,0.03327867667247788,True,True
0.02,2,False,0.016038186673321138,0.0031336232440845515,0.0044546288884956264,0.12291441076449475,0.9997584094705536,0.9997435563840665,0.0039055775212047867,0.015543182732194502,0.003905565437463472,1.4069065336406994,0.050988703840245474,False,True
0.02,3,False,0.016038186673321138,0.0030570401105232733,0.0044546288884956264,0.12291441076449475,0.999779560808464,0.9997621281152781,0.004222307354354782,0.014847194736246508,0.0042223016181866715,1.372522913600404,0.04974258252566647,False,True
0.02,4,True,0.016038186673321138,0.0021217976006709157,0.0044546288884956264,0.12291441076449475,0.9997945204366859,0.9997842382379007,0.003242841566347908,0.014334558357831276,0.003242836831181379,0.9526259779577142,0.03452479798705298,True,True
