target_mode,beta,threshold,beta_over_threshold,target_overlap,recovered_mode,ground_value
2,0.10485978751097483,0.13422052801404777,0.7812500000000001,1.7528196572659335e-28,1,0.12552705574188183
2,0.10625791801112117,0.13422052801404777,0.7916666666666667,1.0909237576987059e-29,1,0.12692518624202823
2,0.10765604851126749,0.13422052801404777,0.8020833333333334,9.222585168890493e-29,1,0.1283233167421745
2,0.10905417901141383,0.13422052801404777,0.8125000000000001,1.5739007654323593e-28,1,0.12972144724232093
2,0.11045230951156015,0.13422052801404777,0.8229166666666667,2.1152565616402787e-28,1,0.13111957774246713
2,0.11185044001170649,0.13422052801404777,0.8333333333333335,2.875960371074349e-28,1,0.13251770824261372
2,0.11324857051185282,0.13422052801404777,0.8437500000000001,1.398040250350472e-28,1,0.13391583874275997
2,0.11464670101199914,0.13422052801404777,0.8541666666666667,2.4072660598082714e-28,1,0.13531396924290628
2,0.11604483151214548,0.13422052801404777,0.8645833333333335,3.9825226799214793e-28,1,0.1367120997430526
2,0.1174429620122918,0.13422052801404777,0.875,1.7454780123179294e-28,1,0.13811023024319885
2,0.11884109251243814,0.13422052801404777,0.8854166666666667,8.60697321774678e-28,1,0.13950836074334533
2,0.12023922301258447,0.13422052801404777,0.8958333333333334,1.5669443064732326e-28,1,0.1409064912434917
2,0.1216373535127308,0.13422052801404777,0.9062500000000001,5.52671790189161e-28,1,0.14230462174363795
2,0.12303548401287713,0.13422052801404777,0.9166666666666667,4.0269577355983816e-28,1,0.1437027522437842
2,0.12443361451302347,0.13422052801404777,0.9270833333333335,1.2949952946059774e-28,1,0.14510088274393068
2,0.1258317450131698,0.13422052801404777,0.9375000000000001,1.3688654931809165e-27,1,0.146499013244077
2,0.12722987551331613,0.13422052801404777,0.9479166666666669,8.389350837750799e-29,1,0.1478971437442233
2,0.12862800601346247,0.13422052801404777,0.9583333333333335,3.498383180873394e-27,1,0.14929527424436956
2,0.13002613651360878,0.13422052801404777,0.96875,5.996652512041873e-29,1,0.15069340474451592
2,0.13142426701375512,0.13422052801404777,0.9791666666666667,7.653725717680562e-27,1,0.1520915352446623
2,0.13282239751390146,0.13422052801404777,0.9895833333333335,2.7099190942581235e-26,1,0.15348966574480843
2,0.13422052801404777,0.13422052801404777,1.0,0.3684025805278107,1,0.15488779624495475
2,0.1356186585141941,0.13422052801404777,1.0104166666666667,0.9999999999999998,2,0.15488779624495455
2,0.13701678901434045,0.13422052801404777,1.0208333333333335,1.0000000000000004,2,0.15488779624495455
